Gene.stable.ID,HGNC.symbol
ENSMNEG00000000323,PCNX3
ENSMNEG00000000324,
ENSMNEG00000000325,
ENSMNEG00000000326,
ENSMNEG00000000326,
ENSMNEG00000000327,U6
ENSMNEG00000000332,5S_rRNA
ENSMNEG00000000334,
ENSMNEG00000000337,7SK
ENSMNEG00000000338,
ENSMNEG00000000338,
ENSMNEG00000000338,
ENSMNEG00000000339,7SK
ENSMNEG00000000340,
ENSMNEG00000000341,U6
ENSMNEG00000000345,
ENSMNEG00000000351,NKAIN4
ENSMNEG00000000354,SNAPC1
ENSMNEG00000000355,RAB5C
ENSMNEG00000000362,U6
ENSMNEG00000000363,U6
ENSMNEG00000000364,5S_rRNA
ENSMNEG00000000365,7SK
ENSMNEG00000000367,7SK
ENSMNEG00000000370,
ENSMNEG00000000375,PGBD4
ENSMNEG00000000377,mne-mir-184
ENSMNEG00000000380,NDOR1
ENSMNEG00000000381,
ENSMNEG00000000382,
ENSMNEG00000000383,U6
ENSMNEG00000000384,7SK
ENSMNEG00000000388,7SK
ENSMNEG00000000390,U6
ENSMNEG00000000391,5S_rRNA
ENSMNEG00000000396,
ENSMNEG00000000401,
ENSMNEG00000000402,OR5A2
ENSMNEG00000000403,TGFBR3L
ENSMNEG00000000404,
ENSMNEG00000000405,ZCCHC3
ENSMNEG00000000406,
ENSMNEG00000000409,U6
ENSMNEG00000000412,7SK
ENSMNEG00000000415,5S_rRNA
ENSMNEG00000000417,
ENSMNEG00000000421,SNORA63
ENSMNEG00000000422,
ENSMNEG00000000424,U6
ENSMNEG00000000428,
ENSMNEG00000000429,OR6P1
ENSMNEG00000000430,MARCKS
ENSMNEG00000000433,mne-mir-194
ENSMNEG00000000436,U6
ENSMNEG00000000437,7SK
ENSMNEG00000000439,5S_rRNA
ENSMNEG00000000440,SNORA63
ENSMNEG00000000441,U6
ENSMNEG00000000442,
ENSMNEG00000000445,GRXCR1
ENSMNEG00000000446,IGKV6D-41
ENSMNEG00000000447,
ENSMNEG00000000448,TMEM182
ENSMNEG00000000449,ALKAL2
ENSMNEG00000000450,CLIP4
ENSMNEG00000000451,STK25
ENSMNEG00000000452,
ENSMNEG00000000453,PIRT
ENSMNEG00000000459,
ENSMNEG00000000460,U6
ENSMNEG00000000461,
ENSMNEG00000000463,U6
ENSMNEG00000000465,7SK
ENSMNEG00000000468,5S_rRNA
ENSMNEG00000000470,SNORA63
ENSMNEG00000000471,SCRT2
ENSMNEG00000000472,
ENSMNEG00000000473,
ENSMNEG00000000474,JOSD1
ENSMNEG00000000481,
ENSMNEG00000000482,
ENSMNEG00000000483,U6
ENSMNEG00000000484,
ENSMNEG00000000487,U6
ENSMNEG00000000490,7SK
ENSMNEG00000000494,5S_rRNA
ENSMNEG00000000503,
ENSMNEG00000000504,mne-mir-205
ENSMNEG00000000505,U6
ENSMNEG00000000506,
ENSMNEG00000000509,
ENSMNEG00000000510,RTF1
ENSMNEG00000000511,CYBC1
ENSMNEG00000000515,U6
ENSMNEG00000000516,
ENSMNEG00000000517,5S_rRNA
ENSMNEG00000000519,
ENSMNEG00000000520,7SK
ENSMNEG00000000526,
ENSMNEG00000000528,U6
ENSMNEG00000000529,U6
ENSMNEG00000000532,5S_rRNA
ENSMNEG00000000540,
ENSMNEG00000000542,ANXA9
ENSMNEG00000000543,ALDH9A1
ENSMNEG00000000544,SNX20
ENSMNEG00000000546,7SK
ENSMNEG00000000549,
ENSMNEG00000000552,U6
ENSMNEG00000000553,
ENSMNEG00000000554,5S_rRNA
ENSMNEG00000000556,U6
ENSMNEG00000000557,SNORD30
ENSMNEG00000000565,7SK
ENSMNEG00000000570,mne-mir-224
ENSMNEG00000000571,
ENSMNEG00000000571,
ENSMNEG00000000571,
ENSMNEG00000000571,
ENSMNEG00000000573,U6
ENSMNEG00000000575,7SK
ENSMNEG00000000576,SNORA53
ENSMNEG00000000578,5S_rRNA
ENSMNEG00000000579,U6
ENSMNEG00000000582,
ENSMNEG00000000584,
ENSMNEG00000000587,
ENSMNEG00000000588,U1
ENSMNEG00000000589,
ENSMNEG00000000592,
ENSMNEG00000000593,7SK
ENSMNEG00000000596,U2
ENSMNEG00000000599,5S_rRNA
ENSMNEG00000000600,U6
ENSMNEG00000000601,U6
ENSMNEG00000000602,DELE1
ENSMNEG00000000603,
ENSMNEG00000000617,B3GALT1
ENSMNEG00000000618,
ENSMNEG00000000621,MIR302B
ENSMNEG00000000625,U6
ENSMNEG00000000627,5S_rRNA
ENSMNEG00000000630,7SK
ENSMNEG00000000631,U2
ENSMNEG00000000632,
ENSMNEG00000000635,U6
ENSMNEG00000000643,ELMOD2
ENSMNEG00000000644,
ENSMNEG00000000645,
ENSMNEG00000000649,
ENSMNEG00000000650,7SK
ENSMNEG00000000652,Y_RNA
ENSMNEG00000000653,
ENSMNEG00000000655,5S_rRNA
ENSMNEG00000000660,U2
ENSMNEG00000000661,U6
ENSMNEG00000000672,MTERF2
ENSMNEG00000000673,RNF6
ENSMNEG00000000674,OR4K2
ENSMNEG00000000675,THNSL1
ENSMNEG00000000677,
ENSMNEG00000000680,U6
ENSMNEG00000000681,
ENSMNEG00000000685,Y_RNA
ENSMNEG00000000686,7SK
ENSMNEG00000000687,U2
ENSMNEG00000000688,5S_rRNA
ENSMNEG00000000689,AVEN
ENSMNEG00000000690,TMEM179
ENSMNEG00000000695,
ENSMNEG00000000699,SNORD14
ENSMNEG00000000702,U6
ENSMNEG00000000704,Y_RNA
ENSMNEG00000000705,7SK
ENSMNEG00000000706,U2
ENSMNEG00000000708,NHLRC1
ENSMNEG00000000709,5S_rRNA
ENSMNEG00000000715,
ENSMNEG00000000717,
ENSMNEG00000000719,
ENSMNEG00000000720,U2
ENSMNEG00000000721,U6
ENSMNEG00000000722,7SK
ENSMNEG00000000723,5S_rRNA
ENSMNEG00000000724,Y_RNA
ENSMNEG00000000725,SNORD14
ENSMNEG00000000726,
ENSMNEG00000000727,PALM
ENSMNEG00000000732,7SK
ENSMNEG00000000733,Metazoa_SRP
ENSMNEG00000000735,SNORD14
ENSMNEG00000000736,
ENSMNEG00000000738,5S_rRNA
ENSMNEG00000000740,Y_RNA
ENSMNEG00000000743,U2
ENSMNEG00000000752,SCRT1
ENSMNEG00000000753,
ENSMNEG00000000754,
ENSMNEG00000000755,RNF152
ENSMNEG00000000757,NPEPPS
ENSMNEG00000000758,5S_rRNA
ENSMNEG00000000760,U2
ENSMNEG00000000761,7SK
ENSMNEG00000000764,
ENSMNEG00000000766,SNORD14
ENSMNEG00000000767,TRAV10
ENSMNEG00000000768,Y_RNA
ENSMNEG00000000775,Metazoa_SRP
ENSMNEG00000000782,5S_rRNA
ENSMNEG00000000785,SLC22A3
ENSMNEG00000000786,SMIM10
ENSMNEG00000000787,WNK3
ENSMNEG00000000788,
ENSMNEG00000000791,SNORD14
ENSMNEG00000000794,Y_RNA
ENSMNEG00000000795,Metazoa_SRP
ENSMNEG00000000798,U2
ENSMNEG00000000803,5S_rRNA
ENSMNEG00000000807,Metazoa_SRP
ENSMNEG00000000809,
ENSMNEG00000000811,
ENSMNEG00000000812,FERD3L
ENSMNEG00000000815,
ENSMNEG00000000819,BTBD1
ENSMNEG00000000821,SNORD14
ENSMNEG00000000822,Y_RNA
ENSMNEG00000000824,OTUD1
ENSMNEG00000000825,U2
ENSMNEG00000000827,TUBA1C
ENSMNEG00000000828,NEK3
ENSMNEG00000000829,Metazoa_SRP
ENSMNEG00000000830,
ENSMNEG00000000834,Metazoa_SRP
ENSMNEG00000000837,5S_rRNA
ENSMNEG00000000839,U2
ENSMNEG00000000843,Y_RNA
ENSMNEG00000000844,TRBV19
ENSMNEG00000000847,TMTC3
ENSMNEG00000000849,
ENSMNEG00000000850,Metazoa_SRP
ENSMNEG00000000853,
ENSMNEG00000000857,
ENSMNEG00000000858,
ENSMNEG00000000862,PPM1E
ENSMNEG00000000864,5S_rRNA
ENSMNEG00000000865,Metazoa_SRP
ENSMNEG00000000866,RIBC1
ENSMNEG00000000869,U2
ENSMNEG00000000870,CYP2C93
ENSMNEG00000000871,SNORA79
ENSMNEG00000000873,Y_RNA
ENSMNEG00000000876,
ENSMNEG00000000877,5S_rRNA
ENSMNEG00000000879,Metazoa_SRP
ENSMNEG00000000883,U2
ENSMNEG00000000888,Metazoa_SRP
ENSMNEG00000000892,SNORD124
ENSMNEG00000000896,SNORD22
ENSMNEG00000000898,Y_RNA
ENSMNEG00000000899,SOWAHB
ENSMNEG00000000900,EFCAB13
ENSMNEG00000000901,HEXIM1
ENSMNEG00000000902,
ENSMNEG00000000903,NPC1
ENSMNEG00000000904,SLC4A11
ENSMNEG00000000905,
ENSMNEG00000000908,SNORD22
ENSMNEG00000000909,5S_rRNA
ENSMNEG00000000912,Metazoa_SRP
ENSMNEG00000000915,Y_RNA
ENSMNEG00000000916,U2
ENSMNEG00000000918,Metazoa_SRP
ENSMNEG00000000924,5S_rRNA
ENSMNEG00000000926,Y_RNA
ENSMNEG00000000927,KCNA1
ENSMNEG00000000934,SNORD22
ENSMNEG00000000938,
ENSMNEG00000000940,Metazoa_SRP
ENSMNEG00000000941,Metazoa_SRP
ENSMNEG00000000942,U2
ENSMNEG00000000945,
ENSMNEG00000000950,CHST6
ENSMNEG00000000951,
ENSMNEG00000000952,
ENSMNEG00000000953,CCDC184
ENSMNEG00000000955,
ENSMNEG00000000957,Y_RNA
ENSMNEG00000000958,
ENSMNEG00000000959,Metazoa_SRP
ENSMNEG00000000960,
ENSMNEG00000000961,U2
ENSMNEG00000000965,Metazoa_SRP
ENSMNEG00000000977,
ENSMNEG00000000978,
ENSMNEG00000000980,
ENSMNEG00000000981,Y_RNA
ENSMNEG00000000982,TBL1XR1
ENSMNEG00000000983,
ENSMNEG00000000984,
ENSMNEG00000000985,
ENSMNEG00000000986,
ENSMNEG00000000987,Metazoa_SRP
ENSMNEG00000000989,FAM199X
ENSMNEG00000000992,
ENSMNEG00000000994,Metazoa_SRP
ENSMNEG00000000995,SNORD9
ENSMNEG00000000997,mne-mir-144
ENSMNEG00000001002,Metazoa_SRP
ENSMNEG00000001003,Y_RNA
ENSMNEG00000001006,U2
ENSMNEG00000001015,
ENSMNEG00000001016,AKAP1
ENSMNEG00000001018,
ENSMNEG00000001024,mne-mir-106b
ENSMNEG00000001026,Metazoa_SRP
ENSMNEG00000001027,Metazoa_SRP
ENSMNEG00000001029,SNORD8
ENSMNEG00000001031,Y_RNA
ENSMNEG00000001036,U2
ENSMNEG00000001037,MIR1307
ENSMNEG00000001042,SMC3
ENSMNEG00000001046,
ENSMNEG00000001049,Metazoa_SRP
ENSMNEG00000001052,Metazoa_SRP
ENSMNEG00000001053,FSTL5
ENSMNEG00000001054,
ENSMNEG00000001058,
ENSMNEG00000001059,U2
ENSMNEG00000001060,
ENSMNEG00000001061,Y_RNA
ENSMNEG00000001062,
ENSMNEG00000001063,Metazoa_SRP
ENSMNEG00000001068,
ENSMNEG00000001070,Metazoa_SRP
ENSMNEG00000001077,
ENSMNEG00000001080,
ENSMNEG00000001081,
ENSMNEG00000001082,U2
ENSMNEG00000001083,Metazoa_SRP
ENSMNEG00000001085,Y_RNA
ENSMNEG00000001087,
ENSMNEG00000001093,Metazoa_SRP
ENSMNEG00000001095,KCNJ4
ENSMNEG00000001096,WDFY4
ENSMNEG00000001100,Metazoa_SRP
ENSMNEG00000001101,MIR876
ENSMNEG00000001102,Metazoa_SRP
ENSMNEG00000001103,VRTN
ENSMNEG00000001104,
ENSMNEG00000001107,MIR592
ENSMNEG00000001109,U2
ENSMNEG00000001118,Y_RNA
ENSMNEG00000001119,GBX1
ENSMNEG00000001124,
ENSMNEG00000001127,mne-mir-183
ENSMNEG00000001130,
ENSMNEG00000001132,Metazoa_SRP
ENSMNEG00000001134,Metazoa_SRP
ENSMNEG00000001137,
ENSMNEG00000001138,Y_RNA
ENSMNEG00000001141,U2
ENSMNEG00000001147,
ENSMNEG00000001152,
ENSMNEG00000001153,Metazoa_SRP
ENSMNEG00000001157,Metazoa_SRP
ENSMNEG00000001160,U2
ENSMNEG00000001161,
ENSMNEG00000001163,
ENSMNEG00000001165,
ENSMNEG00000001165,
ENSMNEG00000001165,
ENSMNEG00000001165,
ENSMNEG00000001166,PIK3CB
ENSMNEG00000001167,Y_RNA
ENSMNEG00000001168,OR4E1
ENSMNEG00000001169,RAB9A
ENSMNEG00000001170,CNTD1
ENSMNEG00000001171,SCD5
ENSMNEG00000001173,
ENSMNEG00000001174,
ENSMNEG00000001175,Metazoa_SRP
ENSMNEG00000001176,Metazoa_SRP
ENSMNEG00000001178,5S_rRNA
ENSMNEG00000001185,
ENSMNEG00000001189,Y_RNA
ENSMNEG00000001193,
ENSMNEG00000001194,MIR223
ENSMNEG00000001196,Metazoa_SRP
ENSMNEG00000001198,
ENSMNEG00000001201,Metazoa_SRP
ENSMNEG00000001203,
ENSMNEG00000001207,5S_rRNA
ENSMNEG00000001208,IFT140
ENSMNEG00000001209,
ENSMNEG00000001210,
ENSMNEG00000001211,MIR23B
ENSMNEG00000001212,IKBKG
ENSMNEG00000001214,CLEC12A
ENSMNEG00000001217,
ENSMNEG00000001221,
ENSMNEG00000001222,Y_RNA
ENSMNEG00000001223,
ENSMNEG00000001224,
ENSMNEG00000001227,5S_rRNA
ENSMNEG00000001231,Metazoa_SRP
ENSMNEG00000001232,Metazoa_SRP
ENSMNEG00000001240,TIGD2
ENSMNEG00000001241,
ENSMNEG00000001242,KCND2
ENSMNEG00000001245,Y_RNA
ENSMNEG00000001246,
ENSMNEG00000001248,
ENSMNEG00000001250,Metazoa_SRP
ENSMNEG00000001252,Metazoa_SRP
ENSMNEG00000001253,
ENSMNEG00000001254,5S_rRNA
ENSMNEG00000001255,
ENSMNEG00000001265,CNOT9
ENSMNEG00000001268,
ENSMNEG00000001269,CLDN2
ENSMNEG00000001270,DSEL
ENSMNEG00000001273,
ENSMNEG00000001274,
ENSMNEG00000001276,
ENSMNEG00000001279,5S_rRNA
ENSMNEG00000001280,Metazoa_SRP
ENSMNEG00000001281,Metazoa_SRP
ENSMNEG00000001282,U5
ENSMNEG00000001295,
ENSMNEG00000001296,
ENSMNEG00000001298,
ENSMNEG00000001301,ITGA8
ENSMNEG00000001304,
ENSMNEG00000001305,Metazoa_SRP
ENSMNEG00000001307,
ENSMNEG00000001308,Metazoa_SRP
ENSMNEG00000001310,SNORA18
ENSMNEG00000001312,
ENSMNEG00000001313,5S_rRNA
ENSMNEG00000001317,
ENSMNEG00000001318,FAM166C
ENSMNEG00000001326,
ENSMNEG00000001327,
ENSMNEG00000001331,Metazoa_SRP
ENSMNEG00000001332,
ENSMNEG00000001333,
ENSMNEG00000001336,
ENSMNEG00000001338,Metazoa_SRP
ENSMNEG00000001339,
ENSMNEG00000001343,5S_rRNA
ENSMNEG00000001348,
ENSMNEG00000001349,
ENSMNEG00000001350,HECTD1
ENSMNEG00000001352,METTL22
ENSMNEG00000001353,5S_rRNA
ENSMNEG00000001354,Metazoa_SRP
ENSMNEG00000001356,
ENSMNEG00000001360,
ENSMNEG00000001361,Metazoa_SRP
ENSMNEG00000001362,
ENSMNEG00000001363,
ENSMNEG00000001364,
ENSMNEG00000001367,
ENSMNEG00000001373,LRRN2
ENSMNEG00000001376,
ENSMNEG00000001378,MIR143
ENSMNEG00000001379,MIR4657
ENSMNEG00000001380,5S_rRNA
ENSMNEG00000001381,Metazoa_SRP
ENSMNEG00000001384,Metazoa_SRP
ENSMNEG00000001390,SEC61A1
ENSMNEG00000001392,
ENSMNEG00000001400,U1
ENSMNEG00000001401,
ENSMNEG00000001404,
ENSMNEG00000001405,Y_RNA
ENSMNEG00000001407,
ENSMNEG00000001410,
ENSMNEG00000001411,
ENSMNEG00000001412,Metazoa_SRP
ENSMNEG00000001413,5S_rRNA
ENSMNEG00000001419,
ENSMNEG00000001420,
ENSMNEG00000001426,mne-mir-19a
ENSMNEG00000001427,
ENSMNEG00000001428,
ENSMNEG00000001429,CD207
ENSMNEG00000001431,MIR4260
ENSMNEG00000001433,
ENSMNEG00000001434,
ENSMNEG00000001435,Y_RNA
ENSMNEG00000001438,Metazoa_SRP
ENSMNEG00000001439,SNORA51
ENSMNEG00000001442,5S_rRNA
ENSMNEG00000001445,
ENSMNEG00000001453,mne-mir-92
ENSMNEG00000001454,U1
ENSMNEG00000001455,
ENSMNEG00000001456,
ENSMNEG00000001458,
ENSMNEG00000001459,U7
ENSMNEG00000001463,5S_rRNA
ENSMNEG00000001464,NPHS1
ENSMNEG00000001466,Metazoa_SRP
ENSMNEG00000001467,
ENSMNEG00000001470,
ENSMNEG00000001474,
ENSMNEG00000001481,
ENSMNEG00000001482,U7
ENSMNEG00000001484,
ENSMNEG00000001485,TRAV38-1
ENSMNEG00000001486,
ENSMNEG00000001488,PGGHG
ENSMNEG00000001491,ABHD16B
ENSMNEG00000001493,Metazoa_SRP
ENSMNEG00000001496,
ENSMNEG00000001497,
ENSMNEG00000001498,5S_rRNA
ENSMNEG00000001500,U7
ENSMNEG00000001501,
ENSMNEG00000001502,
ENSMNEG00000001504,
ENSMNEG00000001510,
ENSMNEG00000001515,
ENSMNEG00000001519,Metazoa_SRP
ENSMNEG00000001520,
ENSMNEG00000001522,5S_rRNA
ENSMNEG00000001524,7SK
ENSMNEG00000001527,MIR2113
ENSMNEG00000001528,U7
ENSMNEG00000001531,SNORD115
ENSMNEG00000001539,5S_rRNA
ENSMNEG00000001542,PAQR9
ENSMNEG00000001544,
ENSMNEG00000001547,TMEM121B
ENSMNEG00000001550,
ENSMNEG00000001551,Metazoa_SRP
ENSMNEG00000001552,7SK
ENSMNEG00000001554,
ENSMNEG00000001555,ORAI2
ENSMNEG00000001556,
ENSMNEG00000001557,GAS2L1
ENSMNEG00000001558,DDR2
ENSMNEG00000001559,PARVA
ENSMNEG00000001560,
ENSMNEG00000001563,
ENSMNEG00000001565,
ENSMNEG00000001566,5S_rRNA
ENSMNEG00000001567,Metazoa_SRP
ENSMNEG00000001568,7SK
ENSMNEG00000001569,U7
ENSMNEG00000001570,SNORD115
ENSMNEG00000001585,
ENSMNEG00000001586,
ENSMNEG00000001587,
ENSMNEG00000001590,5S_rRNA
ENSMNEG00000001592,Metazoa_SRP
ENSMNEG00000001593,
ENSMNEG00000001594,U7
ENSMNEG00000001595,SNORD115
ENSMNEG00000001596,7SK
ENSMNEG00000001597,
ENSMNEG00000001598,SURF4
ENSMNEG00000001599,CFAP45
ENSMNEG00000001605,
ENSMNEG00000001610,5S_rRNA
ENSMNEG00000001611,
ENSMNEG00000001613,U7
ENSMNEG00000001614,Metazoa_SRP
ENSMNEG00000001615,U1
ENSMNEG00000001617,7SK
ENSMNEG00000001622,Y_RNA
ENSMNEG00000001627,BHLHE23
ENSMNEG00000001628,
ENSMNEG00000001633,5S_rRNA
ENSMNEG00000001636,Metazoa_SRP
ENSMNEG00000001637,7SK
ENSMNEG00000001642,
ENSMNEG00000001644,U7
ENSMNEG00000001645,
ENSMNEG00000001646,
ENSMNEG00000001649,
ENSMNEG00000001653,
ENSMNEG00000001655,
ENSMNEG00000001657,
ENSMNEG00000001658,7SK
ENSMNEG00000001661,MIR454
ENSMNEG00000001663,U7
ENSMNEG00000001664,5S_rRNA
ENSMNEG00000001665,SNORD115
ENSMNEG00000001666,
ENSMNEG00000001675,
ENSMNEG00000001678,P2RY10
ENSMNEG00000001682,
ENSMNEG00000001683,
ENSMNEG00000001685,U7
ENSMNEG00000001687,Y_RNA
ENSMNEG00000001688,5S_rRNA
ENSMNEG00000001691,
ENSMNEG00000001694,7SK
ENSMNEG00000001696,
ENSMNEG00000001697,
ENSMNEG00000001701,SNORD115
ENSMNEG00000001702,7SK
ENSMNEG00000001705,MIR891B
ENSMNEG00000001708,U7
ENSMNEG00000001710,
ENSMNEG00000001718,
ENSMNEG00000001719,5S_rRNA
ENSMNEG00000001722,
ENSMNEG00000001723,7SK
ENSMNEG00000001724,Y_RNA
ENSMNEG00000001725,MAGEF1
ENSMNEG00000001727,
ENSMNEG00000001728,CHD3
ENSMNEG00000001733,U7
ENSMNEG00000001737,5S_rRNA
ENSMNEG00000001738,
ENSMNEG00000001741,SNORD115
ENSMNEG00000001742,7SK
ENSMNEG00000001743,
ENSMNEG00000001748,MIR744
ENSMNEG00000001751,
ENSMNEG00000001753,TCEAL8
ENSMNEG00000001754,
ENSMNEG00000001756,U7
ENSMNEG00000001760,5S_rRNA
ENSMNEG00000001761,7SK
ENSMNEG00000001762,5S_rRNA
ENSMNEG00000001764,Y_RNA
ENSMNEG00000001766,
ENSMNEG00000001777,
ENSMNEG00000001779,U7
ENSMNEG00000001781,MIR375
ENSMNEG00000001782,5S_rRNA
ENSMNEG00000001784,SNORD115
ENSMNEG00000001785,
ENSMNEG00000001787,7SK
ENSMNEG00000001790,
ENSMNEG00000001792,RBAK
ENSMNEG00000001795,
ENSMNEG00000001796,ARL4D
ENSMNEG00000001797,
ENSMNEG00000001797,
ENSMNEG00000001799,U1
ENSMNEG00000001802,U7
ENSMNEG00000001803,Y_RNA
ENSMNEG00000001805,
ENSMNEG00000001807,5S_rRNA
ENSMNEG00000001808,7SK
ENSMNEG00000001817,
ENSMNEG00000001818,
ENSMNEG00000001820,Y_RNA
ENSMNEG00000001824,
ENSMNEG00000001827,U7
ENSMNEG00000001828,PLPP6
ENSMNEG00000001829,
ENSMNEG00000001830,5S_rRNA
ENSMNEG00000001831,7SK
ENSMNEG00000001832,Y_RNA
ENSMNEG00000001834,
ENSMNEG00000001840,
ENSMNEG00000001841,
ENSMNEG00000001849,
ENSMNEG00000001850,Y_RNA
ENSMNEG00000001852,U7
ENSMNEG00000001853,
ENSMNEG00000001854,Metazoa_SRP
ENSMNEG00000001855,
ENSMNEG00000001858,5S_rRNA
ENSMNEG00000001861,5S_rRNA
ENSMNEG00000001863,
ENSMNEG00000001864,7SK
ENSMNEG00000001867,
ENSMNEG00000001869,
ENSMNEG00000001870,
ENSMNEG00000001871,
ENSMNEG00000001873,5S_rRNA
ENSMNEG00000001874,7SK
ENSMNEG00000001875,Y_RNA
ENSMNEG00000001876,mne-mir-204
ENSMNEG00000001877,Metazoa_SRP
ENSMNEG00000001878,U7
ENSMNEG00000001887,
ENSMNEG00000001892,H2AC1
ENSMNEG00000001896,
ENSMNEG00000001897,NACC1
ENSMNEG00000001899,5S_rRNA
ENSMNEG00000001900,Y_RNA
ENSMNEG00000001902,U7
ENSMNEG00000001907,Metazoa_SRP
ENSMNEG00000001908,
ENSMNEG00000001909,
ENSMNEG00000001915,7SK
ENSMNEG00000001916,5S_rRNA
